game_id;category_id
o6knI5ct0u;2bdFPJUvFo
o6knI5ct0u;JwHcKqxh33
Krn8i8C0fI;2bdFPJUvFo
vlaCUeyxNI;2bdFPJUvFo
CCVU6BS9gA;2bdFPJUvFo
65DvpKB0IT;2bdFPJUvFo
CpHWBRMSAV;2bdFPJUvFo
uEPtE5OOOU;2bdFPJUvFo
PoTU2CknMS;2bdFPJUvFo
EBmYf5NVzC;2bdFPJUvFo
YTVVvtMEQp;2bdFPJUvFo
f2t0bIbJg3;2bdFPJUvFo
x8wcocZuQB;2bdFPJUvFo
ptpfJSjdrm;2bdFPJUvFo
IKKs90JOkr;2bdFPJUvFo
HxnsSD8q4t;2bdFPJUvFo
lDOoSEKWG8;2bdFPJUvFo
lDOoSEKWG8;JwHcKqxh33
eJuGpFzljd;2bdFPJUvFo
d74Pz3XA4M;2bdFPJUvFo
QiDhSB1ZV4;2bdFPJUvFo
cWPcJKRlZK;2bdFPJUvFo
cWPcJKRlZK;JwHcKqxh33
M6wPVEqEuC;2bdFPJUvFo
yqR4PtpO8X;85OKv8p5Ow
yqR4PtpO8X;nWDac9tQzt
yqR4PtpO8X;zyj9ZK3mHB
yqR4PtpO8X;3B3QpKvXD3
yqR4PtpO8X;buDTYyPw4D
5tnoVda0AY;85OKv8p5Ow
5tnoVda0AY;N0TkEGfEsF
5tnoVda0AY;jZEDOpx07e
5tnoVda0AY;TKQncFVX74
5tnoVda0AY;3B3QpKvXD3
7o1BvaDKoO;85OKv8p5Ow
7o1BvaDKoO;329DxyFL9D
7o1BvaDKoO;upXZ8vNfNO
7o1BvaDKoO;3B3QpKvXD3
2nIK13bbh2;85OKv8p5Ow
2nIK13bbh2;329DxyFL9D
2nIK13bbh2;yq6hVlbM2R
xR5jNzIUUf;85OKv8p5Ow
xR5jNzIUUf;yq6hVlbM2R
xR5jNzIUUf;ZTneo8TaIO
xR5jNzIUUf;upXZ8vNfNO
xR5jNzIUUf;QAYkTHK1Dd
xR5jNzIUUf;FC6ElKI9tk
xR5jNzIUUf;jX8asGGR6o
Cq7HxW69ib;85OKv8p5Ow
wygjBUtRBv;85OKv8p5Ow
wygjBUtRBv;a8NM5cugJX
wygjBUtRBv;329DxyFL9D
wygjBUtRBv;yq6hVlbM2R
wygjBUtRBv;vqZ5XzGWQD
wygjBUtRBv;jX8asGGR6o
Uhog7EYxwB;85OKv8p5Ow
Uhog7EYxwB;329DxyFL9D
Uhog7EYxwB;3B3QpKvXD3
T1IEI9o0wx;85OKv8p5Ow
T1IEI9o0wx;hBqZ3Ar4RJ
T1IEI9o0wx;PinhJrhnxU
T1IEI9o0wx;N0TkEGfEsF
T1IEI9o0wx;0MdRqhkNpw
yXfLbrMZzI;85OKv8p5Ow
yXfLbrMZzI;gscaL52VDG
yXfLbrMZzI;yq6hVlbM2R
yXfLbrMZzI;ZTneo8TaIO
yXfLbrMZzI;upXZ8vNfNO
yXfLbrMZzI;rrvd68LjOR
yXfLbrMZzI;8Z7nWG2kOw
yXfLbrMZzI;2Gu62aKdma
BpP352vFUc;85OKv8p5Ow
BpP352vFUc;rrvd68LjOR
BpP352vFUc;3B3QpKvXD3
ON1Ux1ux8j;85OKv8p5Ow
0rVAp3Sjgg;85OKv8p5Ow
0rVAp3Sjgg;rrvd68LjOR
V9kIdFuOKB;85OKv8p5Ow
V9kIdFuOKB;upXZ8vNfNO
V9kIdFuOKB;rrvd68LjOR
V9kIdFuOKB;zyj9ZK3mHB
V9kIdFuOKB;3B3QpKvXD3
V9kIdFuOKB;buDTYyPw4D
PcuaaDp32t;85OKv8p5Ow
PcuaaDp32t;rrvd68LjOR
PcuaaDp32t;3B3QpKvXD3
PcuaaDp32t;0MdRqhkNpw
TAAifFP590;hBqZ3Ar4RJ
TAAifFP590;KUBCKBkGxV
TAAifFP590;MWoxgHrOJD
i5Oqu5VZgP;hBqZ3Ar4RJ
VibNUMwsqr;hBqZ3Ar4RJ
VibNUMwsqr;MHkqIVxwtx
9iBOPn3lES;hBqZ3Ar4RJ
H3yXWu5No0;hBqZ3Ar4RJ
H3yXWu5No0;eX8uuNlQkQ
H3yXWu5No0;TYnxiuiI3X
H3yXWu5No0;X8J7RM6dxX
D0OHY8b8Oc;hBqZ3Ar4RJ
D0OHY8b8Oc;MWoxgHrOJD
nlcJOyC0SG;hBqZ3Ar4RJ
nlcJOyC0SG;gsekjrPJz0
3hnL2wtWnM;hBqZ3Ar4RJ
XRp8KrEcdC;hBqZ3Ar4RJ
XRp8KrEcdC;MWoxgHrOJD
M9xcYNHOGp;hBqZ3Ar4RJ
YDr6ZHfkja;hBqZ3Ar4RJ
YDr6ZHfkja;nuHYRFmMjU
54NFDYrC7y;hBqZ3Ar4RJ
BlcdRRfSEy;hBqZ3Ar4RJ
BlcdRRfSEy;MWoxgHrOJD
uDl7CD01TP;hBqZ3Ar4RJ
uDl7CD01TP;QAYkTHK1Dd
fQ8NGxSBVH;hBqZ3Ar4RJ
fQ8NGxSBVH;X8J7RM6dxX
JyMsRC64I4;hBqZ3Ar4RJ
CD0uhFDJnN;hBqZ3Ar4RJ
CD0uhFDJnN;QAYkTHK1Dd
CD0uhFDJnN;jX8asGGR6o
pBPfgso6ei;hBqZ3Ar4RJ
pBPfgso6ei;dO9HVl2TW7
s8wSChmBTN;hBqZ3Ar4RJ
SN5429sV0p;hBqZ3Ar4RJ
xt6pC8Y51e;hBqZ3Ar4RJ
xt6pC8Y51e;7rV11PKqME
T02xLDbwAk;hBqZ3Ar4RJ
T02xLDbwAk;X8J7RM6dxX
2wr6cjSC1N;hBqZ3Ar4RJ
AON6lRpbad;hBqZ3Ar4RJ
18IdkflEML;hBqZ3Ar4RJ
18IdkflEML;eX8uuNlQkQ
18IdkflEML;ZTneo8TaIO
P1LgE2FzWh;hBqZ3Ar4RJ
P1LgE2FzWh;ZTneo8TaIO
P1LgE2FzWh;jZEDOpx07e
P1LgE2FzWh;nuHYRFmMjU
P1LgE2FzWh;jX8asGGR6o
sZRQ3c5YZy;hBqZ3Ar4RJ
bcHVwsjSOJ;hBqZ3Ar4RJ
9jlOaXVEB2;hBqZ3Ar4RJ
9jlOaXVEB2;eX8uuNlQkQ
WZvNYdIlyO;hBqZ3Ar4RJ
WZvNYdIlyO;HKaYVNIxAJ
aP1yoyLmDE;hBqZ3Ar4RJ
aP1yoyLmDE;PinhJrhnxU
aP1yoyLmDE;bCBXJy9qDw
xnyncdXxOt;hBqZ3Ar4RJ
xnyncdXxOt;ov6sEmlkiC
WOuqHUw5Cq;hBqZ3Ar4RJ
WOuqHUw5Cq;QAYkTHK1Dd
iMyRA8LVWm;hBqZ3Ar4RJ
iMyRA8LVWm;QAYkTHK1Dd
NmpDUK2glo;hBqZ3Ar4RJ
0NCVuED1pv;hBqZ3Ar4RJ
yyJzVHz2Uu;hBqZ3Ar4RJ
Y68rJcahTg;hBqZ3Ar4RJ
Y68rJcahTg;ZTneo8TaIO
wTUHRJuxzD;hBqZ3Ar4RJ
wTUHRJuxzD;4mOtRRwSoj
pICm1dpjfl;hBqZ3Ar4RJ
1HA2WJAQjo;hBqZ3Ar4RJ
1HA2WJAQjo;PzWI2uaif0
B4rmSfrB0v;hBqZ3Ar4RJ
sWIO4yfzJB;hBqZ3Ar4RJ
J4pYpBlzxX;hBqZ3Ar4RJ
MdSXAvIdAn;hBqZ3Ar4RJ
MdSXAvIdAn;JwHcKqxh33
XUeYK7XZwb;hBqZ3Ar4RJ
XUeYK7XZwb;MWoxgHrOJD
XUeYK7XZwb;WVMOS3s2pb
